Team ID,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Rk,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,TOV,PF,PTS,Finals
Indiana Pacers*2011-2012,42,24,0.636,2,2.6,90.7,-0.6,106.7,2.1,103.1,-1.5,13,242.3,35.7,81.4,0.43799999999999994,5.9,16.1,0.368,29.7,0.455,20.4,26.1,0.782,12.5,31.4,43.9,18.6,7.9,14.0,21.7,97.7,L
Indiana Pacers*2010-2011,37,45,0.451,2,-1.38,94.7,2.6,104.8,-2.5,106.0,-1.3,13,241.2,36.6,82.8,0.442,7.1,20.2,0.354,29.5,0.47100000000000003,19.4,24.8,0.782,11.1,32.4,43.5,19.6,7.1,15.4,21.7,99.8,L
Los Angeles Clippers*2016-2017,51,31,0.622,2,4.42,96.1,-0.3,112.7,3.9,108.2,-0.6,6,240.9,39.5,83.2,0.475,10.3,27.4,0.375,29.3,0.525,19.3,26.0,0.745,9.0,34.0,43.0,22.5,7.5,13.0,19.8,108.7,L
Los Angeles Clippers*2015-2016,53,29,0.6459999999999999,2,4.13,95.8,0.0,108.3,1.9,103.8,-2.6,7,241.8,38.3,82.4,0.465,9.7,26.7,0.364,28.6,0.513,18.2,26.2,0.6920000000000001,8.8,33.3,42.0,22.8,8.6,13.0,21.3,104.5,L
Los Angeles Clippers*2014-2015,56,26,0.6829999999999999,2,6.8,94.7,0.8,112.4,6.8,105.5,-0.1,2,240.6,39.4,83.3,0.473,10.1,26.9,0.376,29.3,0.519,17.9,25.2,0.71,9.6,33.1,42.6,24.8,7.8,12.3,21.3,106.7,L
Los Angeles Clippers*2013-2014,57,25,0.695,1,7.27,95.9,2.0,112.1,5.4,104.8,-1.9,1,240.9,39.1,82.5,0.474,8.5,24.0,0.35200000000000004,30.7,0.525,21.2,29.1,0.73,10.5,32.5,43.0,24.6,8.6,13.9,21.5,107.9,L
Los Angeles Clippers*2012-2013,56,26,0.6829999999999999,1,6.43,91.1,-0.9,110.6,4.7,103.6,-2.3,9,240.6,38.5,80.6,0.478,7.6,21.4,0.358,30.9,0.522,16.4,23.0,0.711,11.4,30.2,41.6,23.9,9.6,14.6,20.9,101.1,L
Los Angeles Clippers*2011-2012,40,26,0.606,2,2.82,89.2,-2.1,108.5,3.9,105.7,1.1,14,241.9,37.0,81.3,0.455,7.8,21.8,0.35700000000000004,29.2,0.49,15.8,23.3,0.68,12.1,29.4,41.6,21.0,8.4,13.3,21.2,97.5,L
Los Angeles Lakers*2012-2013,45,37,0.5489999999999999,3,1.48,94.4,2.4,107.8,1.9,106.6,0.7,6,240.9,37.1,81.0,0.45799999999999996,8.7,24.6,0.355,28.4,0.503,19.3,27.9,0.6920000000000001,11.5,33.3,44.8,22.2,7.0,15.0,17.9,102.2,L
Los Angeles Lakers*2011-2012,41,25,0.621,1,1.96,90.5,-0.8,106.0,1.4,104.4,-0.2,15,243.4,36.8,80.6,0.457,5.5,16.8,0.326,31.3,0.491,18.2,24.1,0.7559999999999999,12.1,34.1,46.2,22.5,5.9,15.1,16.8,97.3,L
